"indicator","period","start","end","group","subgroup","value"
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maine",30.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maryland",24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Massachusetts",30.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Michigan",24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Minnesota",32.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Mississippi",30.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Missouri",30.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Montana",28.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nebraska",28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nevada",20.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Hampshire",28.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Jersey",23.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Mexico",24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New York",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Carolina",30.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Dakota",22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Ohio",29.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oklahoma",31.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oregon",30.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Pennsylvania",25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Rhode Island",30.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Carolina",25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Dakota",21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Tennessee",23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Texas",21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Utah",31.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Vermont",26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Virginia",25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Washington",27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","West Virginia",31.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wisconsin",27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wyoming",26.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alabama",15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alaska",15.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arizona",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arkansas",12
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","California",11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Colorado",12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Connecticut",5.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Delaware",9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","District of Columbia",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Florida",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Georgia",15.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Hawaii",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Idaho",8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Illinois",12
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Indiana",11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Iowa",12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kansas",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kentucky",8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Louisiana",16.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maine",10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maryland",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Massachusetts",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Michigan",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Minnesota",12.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Mississippi",12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Missouri",11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Montana",11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nebraska",7.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nevada",11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Hampshire",10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Jersey",11
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Mexico",10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New York",8.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Carolina",11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Dakota",10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Ohio",12.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oklahoma",14.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oregon",13.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Pennsylvania",11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Rhode Island",8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Carolina",8.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Dakota",8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Tennessee",10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Texas",12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Utah",15.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Vermont",11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Virginia",9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Washington",14.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","West Virginia",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wisconsin",11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wyoming",13.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Alabama",25.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Alaska",17.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Arizona",19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Arkansas",24.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","California",15.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Colorado",22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Connecticut",21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Delaware",26.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","District of Columbia",18.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Florida",22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Georgia",22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Hawaii",10.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Idaho",23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Illinois",22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Indiana",26.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Iowa",26.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Kansas",25.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Kentucky",30.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Louisiana",24.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Maine",26
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Maryland",21
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Massachusetts",23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Michigan",23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Minnesota",25.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Mississippi",26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Missouri",28.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Montana",20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Nebraska",24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Nevada",17
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","New Hampshire",25.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","New Jersey",18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","New Mexico",22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","New York",18.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","North Carolina",24.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","North Dakota",22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Ohio",23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Oklahoma",28.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Oregon",24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Pennsylvania",25.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Rhode Island",26.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","South Carolina",23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","South Dakota",23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","35",2021-08-04,2021-08-16,"By State","Tennessee",24.7
